Text,Label
NASA successfully launches new satellite to study climate change,Real
World Health Organization approves updated vaccine guidelines,Real
Company reports record quarterly profits driven by strong sales,Real
City council approves budget for new public transportation system,Real
Researchers publish peer-reviewed study on renewable energy efficiency,Real
"Secret government lab created weather to control elections, insider claims",Fake
"Man grows extra finger after drinking energy drink, doctors baffled",Fake
"Billionaire secretly owns the moon, leaked documents reveal",Fake
"Eating chocolate before bed guarantees you'll never age, study claims",Fake
School bans gravity for one day due to new safety law,Fake
Scientists confirm water discovered on Mars surface,Real
Local government announces new tax reforms for 2026,Real
"Celebrity secretly an alien, government covers it up",Fake
"Miracle pill cures all diseases overnight, doctors hate this",Fake
Central bank raises interest rates to control inflation,Real
"Aliens land in city park, mayor shakes hands with them",Fake
New study links regular exercise to improved heart health,Real
Man claims he traveled through time using microwave oven,Fake
Stock markets close higher after strong earnings reports,Real
"Drinking bleach cures common cold, viral post claims",Fake
University researchers develop more efficient solar panel,Real
"Moon landing was staged in a movie studio, leaked memo says",Fake
Indian Railway introduces new express train between Mumbai and Pune,Real
ISRO successfully launches new satellite from Sriharikota space center,Real
RBI keeps repo rate unchanged in latest monetary policy review,Real
India's GDP growth rate revised upward by finance ministry,Real
Delhi Metro announces new route connecting outer districts,Real
"Government secretly replacing currency notes with microchips, claims viral post",Fake
"Taj Mahal to be relocated overnight due to ""hidden underground lake""",Fake
Man in Bihar grows six-foot-tall vegetable using cow dung and moonlight,Fake
WhatsApp forward claims all SIM cards will stop working after midnight,Fake
Viral post claims eating raw onion daily doubles your lifespan instantly,Fake
Scientists confirm water discovered on Mars surface,Real
Local government announces new tax reforms for 2026,Real
"Celebrity secretly an alien, government covers it up",Fake
"Miracle pill cures all diseases overnight, doctors hate this",Fake
Central bank raises interest rates to control inflation,Real
"Aliens land in city park, mayor shakes hands with them",Fake
New study links regular exercise to improved heart health,Real
Man claims he traveled through time using microwave oven,Fake
Stock markets close higher after strong earnings reports,Real
"Drinking bleach cures common cold, viral post claims",Fake
University researchers develop more efficient solar panel,Real
"Moon landing was staged in a movie studio, leaked memo says",Fake
Scientists confirm water discovered on Mars surface,Real
Local government announces new tax reforms for 2026,Real
"Celebrity secretly an alien, government covers it up",Fake
"Miracle pill cures all diseases overnight, doctors hate this",Fake
Central bank raises interest rates to control inflation,Real
"Aliens land in city park, mayor shakes hands with them",Fake
New study links regular exercise to improved heart health,Real
Man claims he traveled through time using microwave oven,Fake
Stock markets close higher after strong earnings reports,Real
"Drinking bleach cures common cold, viral post claims",Fake
University researchers develop more efficient solar panel,Real
"Moon landing was staged in a movie studio, leaked memo says",Fake
